Settlement Date,tier,loan_count
2023-10-02,Tier 2,2
2023-10-02,Tier 3,3
2023-10-03,Tier 2,1
2023-10-03,Tier 3,2
2023-10-04,Tier 2,1
2023-10-04,Tier 3,3
2023-10-05,Tier 2,2
2023-10-05,Tier 3,4
2023-10-06,Tier 2,1
2023-10-06,Tier 3,2
2023-10-09,Tier 2,2
2023-10-09,Tier 3,4
2023-10-10,Tier 2,4
2023-10-10,Tier 3,2
2023-10-11,Tier 2,2
2023-10-11,Tier 3,2
2023-10-12,Tier 2,2
2023-10-12,Tier 3,1
2023-10-13,Tier 2,2
2023-10-13,Tier 3,1
2023-10-16,Tier 3,1
2023-10-17,Tier 2,1
2023-10-17,Tier 3,7
2023-10-18,Tier 2,1
2023-10-23,Tier 2,1
2023-10-23,Tier 3,2
2023-10-24,Tier 2,2
2023-10-24,Tier 3,4
2023-10-25,Tier 2,3
2023-10-25,Tier 3,6
2023-10-26,Tier 2,1
2023-10-26,Tier 3,3
2023-10-27,Tier 2,4
2023-10-27,Tier 3,4
2023-10-30,Tier 2,1
